user_id,email,signup_date,plan_type,total_spent,country,ip_address,device_type,currency,lifetime_value,risk_score,status,churn_probability,last_active,referral_code
1000,corp_user_1000@enterprise.io,2026-01-02,Enterprise,12849.62,FR,193.33.69.164,MacOS,USD,32833.61,0.5831,ACTIVE,0.37,2026-08-11 09:11:50,REF_7917
1001,corp_user_1001@enterprise.io,2026-04-29,Basic,7598.77,JP,172.198.167.137,MacOS,USD,27298.49,0.4341,ACTIVE,0.42,2026-08-09 09:11:50,REF_1148
1002,corp_user_1002@enterprise.io,2025-10-20,Enterprise,8566.33,SG,86.168.74.77,Windows,USD,13969.92,0.9349,ACTIVE,0.36,2026-08-14 09:11:50,REF_6647
1003,corp_user_1003@enterprise.io,2026-06-23,Pro,14730.92,CA,23.162.103.72,MacOS,USD,32418.65,0.4468,ACTIVE,0.24,2026-08-23 09:11:50,REF_9973
1004,corp_user_1004@enterprise.io,2026-06-29,Basic,4503.01,FR,106.154.232.87,Android,USD,17418.97,0.4508,ACTIVE,0.19,2026-08-18 09:11:50,REF_2874
1005,corp_user_1005@enterprise.io,2025-10-04,Basic,3386.88,BR,210.11.82.212,Android,USD,12180.51,0.6783,ACTIVE,0.2,2026-08-23 09:11:50,REF_9958
1006,corp_user_1006@enterprise.io,2026-02-07,Pro,14174.04,SG,180.186.220.57,iOS,USD,23235.15,0.6748,ACTIVE,0.31,2026-08-17 09:11:50,REF_5169
1007,corp_user_1007@enterprise.io,2025-10-15,Basic,3526.91,CA,179.70.36.170,Linux,USD,11548.49,0.0712,ACTIVE,0.29,2026-08-17 09:11:50,REF_2909
1008,corp_user_1008@enterprise.io,2026-03-06,Basic,14596.14,US,71.93.250.23,MacOS,USD,18340.93,0.3449,ACTIVE,0.36,2026-08-20 09:11:50,REF_3485
1009,corp_user_1009@enterprise.io,2026-08-20,Basic,8714.14,AU,230.195.55.49,Android,USD,34543.28,0.6748,ACTIVE,0.12,2026-08-12 09:11:50,REF_5433
1010,corp_user_1010@enterprise.io,2026-05-27,Basic,11717.06,CA,65.177.147.231,Android,USD,22882.07,0.0236,ACTIVE,0.33,2026-08-12 09:11:50,REF_6682
1011,corp_user_1011@enterprise.io,2026-05-19,Pro,479.22,FR,202.3.41.34,Linux,USD,1660.91,0.3094,ACTIVE,0.21,2026-08-17 09:11:50,REF_8490
1012,corp_user_1012@enterprise.io,2025-11-05,Basic,251.07,FR,90.76.192.112,Windows,USD,784.07,0.6794,ACTIVE,0.31,2026-08-10 09:11:50,REF_8007
1013,corp_user_1013@enterprise.io,2026-03-06,Basic,6876.38,FR,221.201.242.40,Windows,USD,17674.94,0.2724,ACTIVE,0.37,2026-08-11 09:11:50,REF_8479
1014,corp_user_1014@enterprise.io,2025-12-22,Enterprise,14242.64,JP,159.234.226.140,Android,USD,52044.78,0.7182,ACTIVE,0.27,2026-08-17 09:11:50,REF_9486
1015,corp_user_1015@enterprise.io,2026-08-08,Pro,13010.56,IN,249.196.207.86,iOS,USD,24939.71,0.1762,ACTIVE,0.26,2026-08-15 09:11:50,REF_1235
1016,corp_user_1016@enterprise.io,2026-02-04,Enterprise,14886.41,AU,65.41.106.39,Android,USD,42355.17,0.1948,ACTIVE,0.4,2026-08-18 09:11:50,REF_2140
1017,corp_user_1017@enterprise.io,2026-03-07,Pro,571.75,US,237.83.170.222,Windows,USD,2275.41,0.168,ACTIVE,0.1,2026-08-19 09:11:50,REF_7202
1018,corp_user_1018@enterprise.io,2026-03-04,Basic,909.91,FR,224.134.195.125,iOS,USD,2183.86,0.9645,ACTIVE,0.3,2026-08-22 09:11:50,REF_4924
1019,corp_user_1019@enterprise.io,2025-11-08,Pro,5286.13,DE,9.220.77.209,MacOS,USD,16865.86,0.4219,ACTIVE,0.26,2026-08-20 09:11:50,REF_5133
1020,corp_user_1020@enterprise.io,2026-01-10,Enterprise,5840.95,AU,209.97.126.25,Windows,USD,14354.29,0.0646,ACTIVE,0.39,2026-08-22 09:11:50,REF_5095
1021,corp_user_1021@enterprise.io,2026-05-15,Basic,7663.91,JP,18.74.203.72,Android,USD,16922.47,0.7519,ACTIVE,0.17,2026-08-18 09:11:50,REF_2578
1022,corp_user_1022@enterprise.io,2026-02-28,Basic,6923.07,US,252.174.48.79,Windows,USD,26112.95,0.3498,ACTIVE,0.22,2026-08-16 09:11:50,REF_4736
1023,corp_user_1023@enterprise.io,2025-10-18,Pro,14972.82,SG,75.118.56.97,Linux,USD,32207.21,0.9706,ACTIVE,0.15,2026-08-19 09:11:50,REF_5835
1024,corp_user_1024@enterprise.io,2026-08-20,Enterprise,11443.55,CA,136.250.162.15,Windows,USD,26206.88,0.7371,ACTIVE,0.21,2026-08-13 09:11:50,REF_4999
1025,corp_user_1025@enterprise.io,2026-07-26,Enterprise,541.99,IN,212.6.185.18,Linux,USD,1680.41,0.8921,ACTIVE,0.3,2026-08-21 09:11:50,REF_9824
1026,corp_user_1026@enterprise.io,2025-10-09,Basic,9567.75,DE,84.32.76.48,Android,USD,15456.82,0.2558,ACTIVE,0.06,2026-08-14 09:11:50,REF_7874
1027,corp_user_1027@enterprise.io,2025-11-09,Enterprise,11513.07,US,5.108.36.162,Linux,USD,16386.74,0.4409,ACTIVE,0.11,2026-08-12 09:11:50,REF_8914
